FlowCount,MinDuration,MaxDuration,MeanDuration,Variance,StdDeviation,TotalDuration,SumPackets,Rate,Entropy,Type
118,54,1531,282.00847457627117,43215.44908072393,207.88325829831493,33277,448,14.933333333333334,0.7370377459611652,attack
88,54,899,313.1818181818182,31204.421487603304,176.64773275534364,27560,373,12.433333333333334,0.7865290640526671,attack
86,54,899,338.48837209302326,29371.3428880476,171.38069578586615,29110,391,13.033333333333333,0.711229873404328,attack
36,54,645,245.97222222222223,22579.915895061727,150.26615019711434,8855,129,4.3,0.7659127100781988,attack
496,54,7923,2959.6149193548385,5326560.30130967,2307.9342064516636,1467969,12961,432.03333333333336,1.5618514191373598,attack
62,120,505,289.80645161290323,6302.510926118627,79.38835510399889,17968,210,7.0,0.5220906413559331,attack
22,54,379,220.36363636363637,11628.231404958675,107.83427750469085,4848,59,1.9666666666666666,0.5518845593053745,attack
62,54,654,281.9032258064516,12079.087408949013,109.90490166024905,17478,225,7.5,0.5884578947271619,attack
10,74,4091,595.3,1391509.6099999999,1179.6226557675127,5953,30,1.0,0.6535212480354063,attack
20,58,654,350.7,37238.80999999999,192.9735992305683,7014,93,3.1,0.7926740567922437,attack
52,58,792,376.2692307692308,35152.58136094675,187.4902167072905,19566,264,8.8,0.7901291223899817,attack
92,74,2793,592.2282608695652,110621.43702741025,332.5980111597336,54485,562,18.733333333333334,0.8546615714715285,attack
88,54,1368,331.35227272727275,57810.18272210744,240.4374819409558,29159,374,12.466666666666667,0.89644153319625,attack
60,54,565,280.15,11770.227499999999,108.4906793231566,16809,240,8.0,0.5778895557345206,attack
30,54,517,239.36666666666667,13925.632222222219,118.0069159931833,7181,102,3.4,0.5755517558670106,attack
178,54,1157,343.41011235955057,39906.54529099861,199.76622660249308,61127,713,23.766666666666666,0.655549518696008,attack
30,54,505,257.23333333333335,9959.97888888889,99.79969383163903,7717,120,4.0,0.5778895557345206,attack
18,54,457,216.27777777777777,9936.311728395061,99.68104999645149,3893,61,2.033333333333333,0.6194969463662592,attack
54,54,899,257.462962962963,26929.50788751715,164.10212639547711,13903,192,6.4,0.6058156074451817,attack
20,74,2838,456.2,320014.4600000001,565.6982057599264,9124,84,2.8,0.6989700043360186,attack
48,66,506,260.5625,11067.162760416666,105.20058346043841,12507,172,5.733333333333333,0.6806956479514371,attack
64,54,654,278.1875,15231.65234375,123.41658050582183,17804,248,8.266666666666667,0.6269872840153125,attack
156,66,1877,360.6730769230769,57878.01491617357,240.57850052773537,56265,639,21.3,0.7046194096339748,attack
118,54,1083,406.97457627118644,39312.34681126113,198.2734142825536,48023,506,16.866666666666667,0.6174698646093253,attack
68,66,1083,506.95588235294116,39440.95393598615,198.5974670935814,34473,324,10.8,0.489878437224581,attack
4,140,694,436.0,54746.0,233.9786315029644,1744,22,0.7333333333333333,0.6020599913279623,attack
6,120,276,218.66666666666666,2786.222222222222,52.78467791151351,1312,20,0.6666666666666666,0.4392472911358186,attack
6,74,272,162.0,8228.0,90.70832376358854,972,14,0.4666666666666667,0.4392472911358186,attack
150,74,954,229.46,30370.3284,174.2708478202823,34419,464,15.466666666666667,0.5903429469233101,attack
14,74,1036,400.64285714285717,97282.51530612246,311.9014512728699,5609,59,1.9666666666666666,0.8556389277515308,attack
4,74,128,101.0,729.0,27.0,404,6,0.2,0.30102999566398114,attack
6,74,260,123.0,4337.0,65.85590330410783,738,11,0.36666666666666664,0.4392472911358186,attack
8,58,228,150.0,4058.0,63.702433234531945,1200,20,0.6666666666666666,0.6020599913279623,attack
30,58,228,169.86666666666667,3183.9822222222224,56.42678638928698,5096,88,2.933333333333333,0.40740175475330687,attack
4,74,228,157.0,3925.0,62.64982043070834,628,10,0.3333333333333333,0.6020599913279623,attack
2,74,206,140.0,4356.0,66.0,280,4,0.13333333333333333,0.30102999566398114,attack
6,58,228,144.33333333333334,3947.222222222222,62.82692274990254,866,15,0.5,0.4392472911358186,attack
64,58,654,194.625,9950.609375,99.75274119040539,12456,205,6.833333333333333,0.6004472897205831,attack
